,ROI_label,Neighbourhood Grey Tone Difference::Coarsness,Neighbourhood Grey Tone Difference::Contrast,Neighbourhood Grey Tone Difference::Busyness,Neighbourhood Grey Tone Difference::Complexity,Neighbourhood Grey Tone Difference::Strength
0,1,0.06,1.89,0.0,66357.47,847.25
0,2,0.08,8.46,0.0,26957.5,602.29
0,3,0.06,17.66,0.0,33509.34,600.61
0,4,0.04,391.93,0.02,15294.99,343.14
0,5,0.03,6.63,0.0,69374.05,398.61
0,6,0.03,1.37,0.0,113241.61,418.38
0,7,0.03,3.16,0.0,67221.76,371.03
0,8,0.04,1.1,0.0,66337.49,371.75
0,9,0.05,53.12,0.01,42487.68,457.22
0,10,0.04,3.06,0.0,46195.1,473.9
0,11,0.04,10.48,0.0,39089.72,375.03
0,12,0.02,3.26,0.0,33899.67,215.65
0,13,0.02,1.81,0.0,47979.64,227.53
0,14,0.04,2.44,0.0,70740.88,497.79
0,15,0.03,4.51,0.0,43810.6,369.4
0,16,0.05,3.02,0.0,43205.21,614.9
0,17,0.03,5.39,0.0,69278.26,410.45
0,18,0.05,30.97,0.01,42313.62,585.79
0,19,0.02,8.45,0.0,226844.24,421.95
0,20,0.06,51.43,0.01,17603.78,522.55
0,21,0.04,2.4,0.0,94826.72,467.09
0,22,0.04,2.27,0.0,72508.78,610.36
0,23,0.05,2.57,0.0,62960.94,566.57
0,24,0.07,3.63,0.0,44694.56,788.1
0,25,0.1,5.24,0.0,17724.17,466.72
0,26,0.01,12.23,0.01,81419.18,1029.71
0,27,0.05,1.83,0.0,66324.94,611.78
0,28,0.07,3.7,0.0,42297.75,806.44
0,29,0.06,13.03,0.0,31289.42,520.76
0,30,0.04,2.1,0.0,89703.16,467.1
0,31,0.04,2.87,0.0,89183.55,480.41
0,32,0.03,0.97,0.0,52844.96,272.43
0,33,0.03,0.66,0.0,55624.52,351.71
0,34,0.03,8.66,0.0,64254.64,417.12
0,35,0.04,1.53,0.0,54168.8,395.25
0,36,0.04,3.83,0.0,90148.49,611.41
0,37,0.06,5.2,0.0,57764.78,535.89
0,38,0.03,1.0,0.0,62298.37,394.26
0,39,0.04,2.55,0.0,85866.92,613.18
0,40,0.02,3.24,0.0,129793.73,522.77
0,41,0.04,2.74,0.0,93988.01,416.59
0,42,0.03,4.04,0.01,39416.7,245.05
0,43,0.04,123.6,0.02,26286.24,318.03
0,44,0.04,15.72,0.0,22273.53,336.47
