intensity_filename,mask_filename,label,GiniCoefficient()[0]
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,1,0.18565792
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,2,0.12602241
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,3,0.16402541
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,4,0.12881375
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,5,0.19667263
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,6,0.20639319
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,7,0.15557828
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,8,0.14198945
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,9,0.16022235
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,10,0.16487966
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,11,0.1311517
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,12,0.13036658
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,13,0.1155364
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,14,0.21710844
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,15,0.13703403
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,16,0.15688792
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,17,0.18905732
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,18,0.20002968
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,19,0.17984606
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,20,0.14193819
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,21,0.18566539
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,22,0.20289118
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,23,0.17122782
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,24,0.18291009
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,25,0.10179169
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,26,0.22549966
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,27,0.20101789
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,28,0.17775391
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,29,0.1563245
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,30,0.16107325
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,31,0.18647703
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,32,0.15812605
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,33,0.20546586
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,34,0.19383503
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,35,0.16396137
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,36,0.21747885
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,37,0.1515364
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,38,0.20429019
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,39,0.19914393
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,40,0.17174862
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,41,0.16716598
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,42,0.14082516
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,43,0.14599106
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,44,0.11360413
