intensity_filename,mask_filename,label,CombMoments()[0],CombMoments()[1],CombMoments()[2],CombMoments()[3],CombMoments()[4],CombMoments()[5],CombMoments()[6],CombMoments()[7],CombMoments()[8],CombMoments()[9],CombMoments()[10],CombMoments()[11],CombMoments()[12],CombMoments()[13],CombMoments()[14],CombMoments()[15],CombMoments()[16],CombMoments()[17],CombMoments()[18],CombMoments()[19],CombMoments()[20],CombMoments()[21],CombMoments()[22],CombMoments()[23],CombMoments()[24],CombMoments()[25],CombMoments()[26],CombMoments()[27],CombMoments()[28],CombMoments()[29],CombMoments()[30],CombMoments()[31],CombMoments()[32],CombMoments()[33],CombMoments()[34],CombMoments()[35],CombMoments()[36],CombMoments()[37],CombMoments()[38],CombMoments()[39],CombMoments()[40],CombMoments()[41],CombMoments()[42],CombMoments()[43],CombMoments()[44],CombMoments()[45],CombMoments()[46],CombMoments()[47]
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,1,12,3,5,12,0,8,4,14,2,12,4,4,7,11,2,4,6,10,3,5,12,12,4,4,10,1,9,9,5,6,4,13,3,9,6,5,8,3,9,7,1,12,6,11,3,10,1,9
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,2,14,0,6,13,2,5,1,17,2,14,1,5,9,6,5,5,2,13,7,4,9,12,4,4,12,2,6,9,2,9,6,12,2,14,1,5,11,6,3,10,0,10,2,4,14,11,3,6
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,3,14,4,2,14,2,4,2,1,17,16,2,2,8,1,11,4,0,16,3,7,10,6,4,10,13,0,7,12,0,8,3,14,3,12,4,4,13,4,3,12,1,7,4,2,14,14,0,6
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,4,20,0,0,14,0,6,20,0,0,16,3,1,17,0,3,17,0,3,2,0,18,17,1,2,20,0,0,13,1,6,20,0,0,16,1,3,20,0,0,12,2,6,20,0,0,18,1,1
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,5,11,8,1,11,1,8,1,15,4,13,4,3,9,3,8,9,2,9,4,12,4,10,5,5,6,4,10,4,6,10,6,10,4,4,9,7,10,4,6,9,0,11,2,10,8,10,3,7
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,6,12,1,7,11,2,7,3,15,2,12,2,6,12,6,2,12,2,6,2,16,2,12,6,2,8,11,1,7,2,11,1,13,6,9,2,9,11,7,2,9,4,7,3,1,16,11,4,5
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,7,15,2,3,12,2,6,2,2,16,12,3,5,13,4,3,13,0,7,2,2,16,13,1,6,11,3,6,10,2,8,3,4,13,11,2,7,12,6,2,6,3,11,3,3,14,7,7,6
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,8,16,2,2,12,0,8,2,2,16,12,5,3,9,6,5,8,4,8,3,12,5,10,4,6,7,8,5,6,4,10,8,10,2,8,8,4,8,10,2,8,1,11,2,8,10,8,2,10
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,9,15,0,5,13,0,7,18,1,1,15,2,3,15,1,4,13,1,6,2,15,3,16,1,3,14,0,6,12,3,5,2,15,3,12,3,5,15,0,5,11,3,6,15,2,3,12,5,3
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,10,11,5,4,11,1,8,5,14,1,13,3,4,12,3,5,11,3,6,1,14,5,15,4,1,8,9,3,6,5,9,2,6,12,9,4,7,11,0,9,11,1,8,2,15,3,11,1,8
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,11,14,1,5,13,0,7,2,17,1,14,2,4,11,1,8,11,1,8,2,14,4,12,5,3,11,6,3,6,3,11,3,14,3,10,6,4,11,6,3,7,1,12,2,2,16,11,5,4
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,12,13,2,5,12,1,7,3,16,1,13,3,4,12,1,7,12,1,7,2,1,17,13,2,5,9,9,2,8,1,11,4,12,4,9,6,5,10,2,8,9,1,10,4,15,1,10,6,4
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,13,12,5,3,12,0,8,4,15,1,13,2,5,12,0,8,12,1,7,4,1,15,13,4,3,8,6,6,7,0,13,1,17,2,8,2,10,10,4,6,9,1,10,2,4,14,10,7,3
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,14,12,5,3,11,5,4,17,2,1,14,5,1,12,0,8,11,5,4,2,16,2,13,3,4,15,4,1,11,2,7,14,3,3,13,4,3,7,5,8,6,6,8,10,7,3,12,6,2
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,15,13,4,3,12,1,7,2,16,2,13,5,2,14,3,3,14,0,6,2,1,17,16,2,2,12,4,4,9,2,9,3,3,14,11,4,5,11,2,7,10,1,9,2,13,5,11,5,4
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,16,13,2,5,12,2,6,3,2,15,13,1,6,16,0,4,16,1,3,2,16,2,17,0,3,12,0,8,10,1,9,2,14,4,12,1,7,11,6,3,10,5,5,2,4,14,13,3,4
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,17,12,4,4,12,1,7,3,1,16,13,2,5,14,5,1,14,1,5,3,14,3,15,1,4,10,5,5,9,3,8,1,5,14,11,4,5,10,6,4,10,2,8,1,4,15,11,5,4
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,18,14,0,6,13,0,7,2,14,4,14,3,3,14,3,3,13,4,3,4,0,16,13,4,3,14,1,5,9,2,9,1,3,16,13,3,4,14,0,6,11,3,6,3,15,2,12,5,3
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,19,13,5,2,13,1,6,2,2,16,14,3,3,7,11,2,5,1,14,2,6,12,9,7,4,7,8,5,6,0,14,3,4,13,8,3,9,11,7,2,6,4,10,2,5,13,12,3,5
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,20,17,1,2,13,2,5,1,14,5,14,3,3,17,1,2,16,0,4,1,17,2,18,0,2,19,0,1,10,2,8,17,2,1,14,2,4,16,0,4,13,1,6,2,15,3,15,2,3
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,21,12,0,8,12,0,8,3,2,15,13,0,7,12,1,7,12,2,6,3,16,1,12,3,5,7,2,11,5,1,14,5,12,3,6,6,8,15,4,1,12,3,5,1,17,2,14,5,1
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,22,12,6,2,11,0,9,16,2,2,13,0,7,12,2,6,13,2,5,3,1,16,14,4,2,10,1,9,9,5,6,3,13,4,10,4,6,9,10,1,8,9,3,1,4,15,9,3,8
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,23,12,5,3,12,4,4,5,13,2,12,5,3,15,4,1,15,1,4,1,16,3,16,1,3,11,0,9,10,0,10,4,11,5,11,5,4,12,6,2,9,5,6,2,14,4,11,6,3
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,24,13,4,3,13,3,4,2,14,4,13,4,3,13,4,3,13,1,6,1,3,16,16,1,3,13,3,4,12,3,5,15,3,2,13,1,6,9,4,7,7,8,5,3,12,5,8,2,10
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,25,15,0,5,13,1,6,3,2,15,15,2,3,17,1,2,17,0,3,1,17,2,18,0,2,15,1,4,11,1,8,2,17,1,16,3,1,17,0,3,10,1,9,3,3,14,13,5,2
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,26,13,1,6,13,1,6,2,1,17,13,0,7,14,4,2,13,2,5,2,2,16,15,2,3,11,5,4,9,4,7,4,15,1,13,1,6,10,2,8,8,3,9,2,17,1,12,1,7
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,27,12,0,8,12,2,6,16,2,2,14,2,4,12,1,7,12,4,4,4,15,1,12,4,4,10,3,7,9,2,9,2,13,5,11,5,4,11,7,2,7,4,9,3,11,6,11,6,3
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,28,13,0,7,13,0,7,4,14,2,13,4,3,13,0,7,13,0,7,4,13,3,13,3,4,11,4,5,7,8,5,5,12,3,10,1,9,11,6,3,9,4,7,14,3,3,14,1,5
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,29,15,3,2,13,3,4,2,3,15,16,2,2,14,4,2,12,0,8,18,0,2,13,1,6,13,2,5,8,3,9,2,16,2,13,3,4,13,3,4,10,3,7,6,13,1,14,3,3
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,30,13,6,1,12,2,6,4,2,14,14,5,1,12,6,2,11,1,8,2,3,15,12,4,4,10,1,9,10,2,8,6,2,12,10,7,3,8,5,7,6,3,11,7,1,12,8,4,8
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,31,13,4,3,12,1,7,2,2,16,13,3,4,14,5,1,13,3,4,1,16,3,14,1,5,9,6,5,8,5,7,3,11,6,9,5,6,13,2,5,11,1,8,4,14,2,12,3,5
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,32,12,3,5,12,1,7,1,15,4,16,2,2,9,8,3,9,2,9,4,15,1,9,8,3,7,7,6,7,1,12,5,12,3,10,7,3,10,9,1,7,3,10,1,15,4,8,9,3
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,33,12,6,2,12,4,4,1,15,4,12,5,3,15,3,2,13,2,5,15,2,3,14,3,3,9,9,2,7,8,5,6,11,3,12,7,1,9,7,4,9,4,7,14,2,4,11,5,4
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,34,13,1,6,13,2,5,2,2,16,14,5,1,13,2,5,13,1,6,2,15,3,13,4,3,12,3,5,9,5,6,2,15,3,11,3,6,12,1,7,9,4,7,2,15,3,12,5,3
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,35,13,5,2,12,2,6,1,14,5,14,2,4,8,8,4,7,6,7,2,5,13,11,5,4,11,4,5,7,4,9,4,12,4,10,5,5,8,9,3,5,13,2,2,9,9,7,8,5
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,36,13,4,3,12,2,6,1,16,3,14,3,3,12,0,8,12,1,7,1,14,5,13,2,5,9,3,8,7,7,6,4,11,5,12,3,5,12,5,3,10,3,7,14,2,4,12,1,7
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,37,13,3,4,13,0,7,5,14,1,13,1,6,13,1,6,13,0,7,2,15,3,13,0,7,10,2,8,8,0,12,1,13,6,9,7,4,11,5,4,8,6,6,4,11,5,11,4,5
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,38,12,5,3,12,1,7,14,1,5,13,4,3,12,5,3,12,6,2,15,2,3,13,3,4,8,11,1,6,10,4,13,6,1,9,7,4,8,4,8,7,5,8,1,11,8,8,8,4
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,39,13,0,7,12,2,6,3,16,1,13,3,4,12,6,2,11,2,7,4,14,2,14,5,1,10,3,7,9,1,10,5,14,1,9,4,7,9,6,5,7,4,9,4,15,1,10,6,4
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,40,13,6,1,12,0,8,1,6,13,13,2,5,13,1,6,12,2,6,3,4,13,12,2,6,13,0,7,13,2,5,5,13,2,14,2,4,7,7,6,6,0,14,3,5,12,8,4,8
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,41,13,1,6,13,1,6,1,3,16,14,1,5,4,11,5,3,1,16,7,8,5,6,7,7,8,10,2,8,0,12,2,5,13,9,3,8,4,11,5,4,2,14,3,8,9,5,6,9
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,42,12,6,2,12,0,8,2,3,15,13,4,3,14,5,1,14,0,6,2,15,3,16,3,1,14,5,1,13,2,5,4,15,1,15,2,3,8,4,8,8,0,12,3,15,2,13,4,3
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,43,15,1,4,14,2,4,3,16,1,15,3,2,15,0,5,13,0,7,1,1,18,15,2,3,19,0,1,11,0,9,1,1,18,13,3,4,19,0,1,11,3,6,1,2,17,13,3,4
p0_y1_r100_c0.ome.tif,p0_y1_r100_c0.ome.tif,44,11,0,9,11,0,9,4,15,1,11,0,9,12,4,4,12,2,6,4,14,2,12,5,3,12,1,7,9,0,11,3,3,14,10,6,4,12,1,7,6,2,12,3,15,2,8,2,10
